,Category,Class,Fuel Type,HIN,Hull Material,Hull Shape,Hull Warranty,Length,Location,Make,Pricing Details,Propulsion Type,Year,make-primary,model,price,year-primary
7108, Utility Boats,Power,,,Aluminum,Modified Vee,99 year,12',"Cape Vincent, NY",Lund,,Other,2017,Lund,A 12 Tiller,Request,2017
7109, Utility Boats,Power,,,Aluminum,Modified Vee,99 year,12',"Cape Vincent, NY",Lund,,Other,2017,Lund,WC 12 Tiller,Request,2017
7110, Utility Boats,Power,,,Aluminum,Modified Vee,99 year,12',"Lake Hopatcong, NJ",Lund,,Other,2017,Lund,WC 12 Tiller,Request,2017
7111, Utility Boats,Power,,,Aluminum,Modified Vee,99 year,12',"Lake Hopatcong, NJ",Lund,,Other,2017,Lund,A 12 Tiller,Request,2017
7112, Utility Boats,Power,,,Aluminum,Modified Vee,99 year,12',"Holmes, PA",Lund,,Other,2017,Lund,WC 12 Tiller,Request,2017
7113, Utility Boats,Power,,,Aluminum,Modified Vee,99 year,12',"Holmes, PA",Lund,,Other,2017,Lund,A 12 Tiller,Request,2017
7114, Center Consoles,Power,Other,,Other,Other,,12',"Milton, PA",Alumacraft,,Other,2017,Alumacraft,T12V,Request,2017
7115, Center Consoles,Power,Other,,Other,Other,,12',"Milton, PA",Alumacraft,,Other,2017,Alumacraft,T12V,Request,2017
7116, Kayak,Small Boats,,BUJB3799C717,Other,,,12',"Morristown, NY",Ascend,,Other,2017,Ascend,FS12T Sit-On-Top (Camo),Request,2017
7117, Kayak,Small Boats,,BUJC4573G717,Other,,,12',"Temple, PA",Ascend,,Other,2017,Ascend,FS12T Sit-On-Top (Desert Storm),$580,2017
7118, Jon Boats,Power,Gas,,Aluminum,Flat,,12',"Bloomsburg, PA",G3 BOATS,,Single Outboard,2016,G3 BOATS,1236 Jon,$875,2016
7119, Inflatables,Small Boats,Other,,Other,Other,,12',"Alexandria Bay, NY",Mercury Boats,,Other,2013,Mercury Boats,Inflatable M400,"$19,900",2013
7120, Jon Boats,Power,Gas,,Aluminum,Flat,,12',"Quakertown,, PA",Crestliner,,Single Outboard,2017,Crestliner,1232 CR Jon,$799,2017
7121, Jon Boats,Power,Gas,,Aluminum,Flat,,12',"Quakertown,, PA",Crestliner,,Single Outboard,2017,Crestliner,1236 CR Jon,"$1,036",2017
7122, Jon Boats,Power,Gas,,Aluminum,Flat,,12',"Quakertown,, PA",Crestliner,,Single Outboard,2017,Crestliner,1236 CR Jon,"$1,049",2017
7123, Antique and Classics,Power,,,Aluminum,Other,,12',"Northampton, MA",Crestliner,,Other,1956,Crestliner,Commander,"$7,500",1956
7124, Personal Watercraft,PWC,Gas,,Pvc,Other,,12',"Bloomsburg, PA",Dolphin,,Single Outboard,2014,Dolphin,120 Dolphin,"$2,995",2014
7125, Personal Watercraft,PWC,Other,,Composite,Deep Vee,,12',"Staten Island, NY",Sea-Doo,,Other,2017,Sea-Doo,GTX S 155,"$12,499",2017
7126, Personal Watercraft,PWC,Other,,Composite,Deep Vee,,12',"Staten Island, NY",Sea-Doo,,Other,2017,Sea-Doo,Wake Pro 230,"$12,999",2017
7127, Personal Watercraft,PWC,Other,,Composite,Deep Vee,,12',"Staten Island, NY",Sea-Doo,,Other,2017,Sea-Doo,RXT-X 300,Request,2017
7128, Personal Watercraft,PWC,Other,,Composite,Deep Vee,,12',"Staten Island, NY",Sea-Doo,,Other,2017,Sea-Doo,RXT-X 300,Request,2017
7129, Freshwater Fishing,Power,Gas,,Aluminum,Modified Vee,,12',"Hawley, PA",Grumman,,Single Outboard,1986,Grumman,12 SEMI VEE,"$1,299",1986
7130, Jon Boats,Power,Gas,,Aluminum,Flat,,12',"Duncannon, PA",Lowe,,Single Outboard,2017,Lowe,L1240,$699,2017
7131, Jon Boats,Power,Gas,,Aluminum,Flat,,12',"Duncannon, PA",Lowe,,Single Outboard,2017,Lowe,L1240,Request,2017
7132, Center Consoles,Power,Other,,Aluminum,Other,,12',"Milton, PA",Lowe,,Other,2014,Lowe,V1257,Request,2014
7133, Center Consoles,Power,Other,,Other,Other,,12',"Milton, PA",Lund,,Other,2016,Lund,A 12,Request,2016
7134, Jon Boats,Power,Other,,Aluminum,Other,,12',"Schnectady, NY",MirroCraft,,Other,2016,MirroCraft,4602 Utility V,"$1,799",2016
7135, Center Consoles,Power,Other,,Aluminum,Other,,12',"Schnectady, NY",MirroCraft,,Other,2017,MirroCraft,Sportsman 4652,Request,2017
7136, Utility Boats,Power,Gas,,Fiberglass,Semi Displacement,,12',"Duncannon, PA",Other,,Other,1984,Other,Krystal Cat,$699,1984
7137, Utility Boats,Power,,,Aluminum,Modified Vee,,12',"Bolton Landing, NY",Princecraft,,Other,2017,Princecraft,Ungava,Request,2017
7138, Utility Boats,Power,,,Aluminum,Modified Vee,,12',"Ogdensburg, NY",Princecraft,,Other,2017,Princecraft,Ungava,Request,2017
7139, Aluminum Fish Boats,Power,,,Aluminum,,,12',"Schroon Lake, NY",Starcraft,,Other,2017,Starcraft,Sealite 12,"$1,745",2017
7140, Personal Watercraft,PWC,,,Fiberglass,Other,,12',"West Seneca, NY",Yamaha,,Other,2014,Yamaha,FH HO/VX Deluxe,"$19,500",2014
7141, Jon Boats,Power,,,Aluminum,Flat,,12',"Endicott, NY",Crestliner,,Other,2017,Crestliner,CR 1236,Request,2017
7142, Jon Boats,Power,,,Aluminum,Flat,,12',"Auburn, NY",Crestliner,,Other,2017,Crestliner,CR 1236,Request,2017
7143, Jon Boats,Power,,,Aluminum,Flat,,12',"Dallas, PA",Crestliner,,Other,2017,Crestliner,CR 1236,Request,2017
7144, Jon Boats,Power,,,Aluminum,Flat,,12',"Hewitt, NJ",Crestliner,,Other,2017,Crestliner,CR 1236,Request,2017
7145, Jon Boats,Power,,,Aluminum,Flat,,12',"Ogdensburg, NY",Crestliner,,Other,2017,Crestliner,CR 1236,Request,2017
7146, Jon Boats,Power,,,Aluminum,Flat,,12',"North East, MD",Crestliner,,Other,2017,Crestliner,CR 1236,Request,2017
7147," Tender, Aluminum Fish Boats, Freshwater Fishing",Small Boats,,,Aluminum,Flat,99 year,12',"Hydeville, VT",Lund,,Other,2017,Lund,1236,"$1,367",2017
7148, Cruisers,Power,Gas,,Fiberglass,,,12',"West Haverstraw, NY",Monterey,,Other,2018,Monterey,360SC,Request,2018
7149, Jon Boats,Power,,BUJ45848G718,Aluminum,Flat,,12',"Sayre, PA",Tracker,"

Base Price: $629
Freight: $50
Your Price: $679

",Single Outboard,2018,Tracker,Topper 1236 Riveted Jon,$679,2018
7150, Jon Boats,Power,,BUJ45439G718,Aluminum,Flat,,12',"Auburn, NY",Tracker,"

Base Price: $629
Freight: $50
Your Price: $679

",Single Outboard,2018,Tracker,Topper 1236 Riveted Jon,$679,2018
7151, Jon Boats,Power,,BUJ48761H718,Aluminum,Flat,,12',"Auburn, NY",Tracker,"

Base Price: $629
Freight: $50
Your Price: $679

",Single Outboard,2018,Tracker,Topper 1236 Riveted Jon,$679,2018
7152, Jon Boats,Power,,BUJ45445G718,Aluminum,Flat,,12',"Auburn, NY",Tracker,"

Base Price: $629
Freight: $50
Your Price: $679

",Single Outboard,2018,Tracker,Topper 1236 Riveted Jon,$679,2018
7153, Jon Boats,Power,,BUJ47192G718,Aluminum,Flat,,12',"Auburn, NY",Tracker,"

Base Price: $629
Freight: $50
Your Price: $679

",Single Outboard,2018,Tracker,Topper 1236 Riveted Jon,$679,2018
7154, Jon Boats,Power,,BUJ43734F718,Aluminum,Flat,,12',"Auburn, NY",Tracker,"

Base Price: $629
Freight: $50
Your Price: $679

",Single Outboard,2018,Tracker,Topper 1236 Riveted Jon,$679,2018
7155, Jon Boats,Power,,BUJ42954F718,Aluminum,Flat,,12',"Utica, NY",Tracker,"

Base Price: $629
Freight: $50
Your Price: $679

",Single Outboard,2018,Tracker,Topper 1236 Riveted Jon,$679,2018
7156, Jon Boats,Power,,BUJ42950F718,Aluminum,Flat,,12',"Utica, NY",Tracker,"

Base Price: $629
Freight: $50
Your Price: $679

",Single Outboard,2018,Tracker,Topper 1236 Riveted Jon,$679,2018
7157, Jon Boats,Power,,BUJ46018G718,Aluminum,Flat,,12',"Utica, NY",Tracker,"

Base Price: $629
Freight: $50
Your Price: $679

",Single Outboard,2018,Tracker,Topper 1236 Riveted Jon,$679,2018
7158, Jon Boats,Power,,BUJ48007H718,Aluminum,Flat,,12',"Utica, NY",Tracker,"

Base Price: $629
Freight: $50
Your Price: $679

",Single Outboard,2018,Tracker,Topper 1236 Riveted Jon,$679,2018
7159, Jon Boats,Power,,BUJ40816E718,Aluminum,Flat,,12',"Temple, PA",Tracker,"

Base Price: $629
Freight: $50
Your Price: $679

",Single Outboard,2018,Tracker,Topper 1236 Riveted Jon,$679,2018
7160, Jon Boats,Power,,BUJ44075F718,Aluminum,Flat,,12',"Harrisburg, PA",Tracker,"

Base Price: $629
Freight: $50
Your Price: $679

",Single Outboard,2018,Tracker,Topper 1236 Riveted Jon,$679,2018
7161, Jon Boats,Power,,BUJ48763H718,Aluminum,Flat,,12',"Harrisburg, PA",Tracker,"

Base Price: $629
Freight: $50
Your Price: $679

",Single Outboard,2018,Tracker,Topper 1236 Riveted Jon,$679,2018
7162, Jon Boats,Power,,BUJ47718H718,Aluminum,Flat,,12',"Harrisburg, PA",Tracker,"

Base Price: $629
Freight: $50
Your Price: $679

",Single Outboard,2018,Tracker,Topper 1236 Riveted Jon,$679,2018
7163, Jon Boats,Power,,BUJ50614H718,Aluminum,Flat,,12',"Harrisburg, PA",Tracker,"

Base Price: $629
Freight: $50
Your Price: $679

",Single Outboard,2018,Tracker,Topper 1236 Riveted Jon,$679,2018
7164, Jon Boats,Power,,BUJ48539H718,Aluminum,Flat,,12',"Harrisburg, PA",Tracker,"

Base Price: $629
Freight: $50
Your Price: $679

",Single Outboard,2018,Tracker,Topper 1236 Riveted Jon,$679,2018
7165, Jon Boats,Power,,BUJ47538H718,Aluminum,Flat,,12',"Morristown, NY",Tracker,"

Base Price: $629
Freight: $50
Your Price: $679

",Single Outboard,2018,Tracker,Topper 1236 Riveted Jon,$679,2018
7166, Utility Boats,Power,,BUJ17878C717,Aluminum,,,12',"Utica, NY",Tracker,"

Base Price: $599
Freight: $50
Your Price: $649

",Single Outboard,2017,Tracker,Topper 1236 Riveted Jon,$649,2017
7167, Utility Boats,Power,,BUJ13136B717,Aluminum,,,12',"Rochester, NY",Tracker,"

Base Price: $599
Freight: $50
Your Price: $649

",Single Outboard,2017,Tracker,Topper 1236 Riveted Jon,$649,2017
7168, Utility Boats,Power,,BUJ15458K516,Aluminum,,,12',"Auburn, NY",Tracker,"

Base Price: $599
Freight: $50
Your Price: $649

",Single Outboard,2016,Tracker,Topper 1236 Riveted Jon,$649,2016
7169, Jon Boats,Power,,,Aluminum,Flat,,12',"Endicott, NY",Crestliner,,Other,2017,Crestliner,CR 1232,Request,2017
7170, Jon Boats,Power,,,Aluminum,Flat,,12',"Auburn, NY",Crestliner,,Other,2017,Crestliner,CR 1232,Request,2017
7171, Jon Boats,Power,,,Aluminum,Flat,,12',"Dallas, PA",Crestliner,,Other,2017,Crestliner,CR 1232,Request,2017
7172, Jon Boats,Power,,,Aluminum,Flat,,12',"Hewitt, NJ",Crestliner,,Other,2017,Crestliner,CR 1232,Request,2017
7173, Jon Boats,Power,,,Aluminum,Flat,,12',"Ogdensburg, NY",Crestliner,,Other,2017,Crestliner,CR 1232,Request,2017
7174, Jon Boats,Power,,,Aluminum,Flat,,12',"North East, MD",Crestliner,,Other,2017,Crestliner,CR 1232,Request,2017
7175, Jon Boats,Power,,,Aluminum,Modified Vee,,12',"Bolton Landing, NY",Princecraft,,Other,2017,Princecraft,1236,Request,2017
7176, Jon Boats,Power,,,Aluminum,Modified Vee,,12',"Ogdensburg, NY",Princecraft,,Other,2017,Princecraft,1236,Request,2017
7177, Jon Boats,Power,,,Aluminum,Flat,99 year,12',"Dallas, PA",Lowe,,Other,2017,Lowe,Jon L1236,Request,2017
7178, Jon Boats,Power,,,Aluminum,Flat,99 year,12',"Saugerties, NY",Lowe,,Other,2017,Lowe,Jon L1236,Request,2017
7179, Jon Boats,Power,,,Aluminum,Flat,99 year,12',"Ogdensburg, NY",Lowe,,Other,2017,Lowe,Jon L1236,Request,2017
7180, Jon Boats,Power,,,Aluminum,Flat,99 year,12',"Fort Ann, NY",Lowe,,Other,2017,Lowe,Jon L1236,Request,2017
7181, Jon Boats,Power,,,Aluminum,Flat,99 year,12',"Rosedale, NY",Lowe,,Other,2017,Lowe,Jon L1236,Request,2017
7182, Jon Boats,Power,,,Aluminum,Flat,99 year,12',"Neptune, NJ",Lowe,,Other,2017,Lowe,Jon L1236,Request,2017
7183, Personal Watercraft,PWC,Gas,,Fiberglass,,,12',"Grand Island, NY",Sea-Doo,,Single Inboard,2017,Sea-Doo,GTX Limited S 260,Request,2017
7184, Other,Power,Other,,Fiberglass,Flat,,12',"Oceanside, NY",Carolina Skiff,,Other,2016,Carolina Skiff,J-1250 KIT,Request,2016
7185, Other,Power,Other,,Fiberglass,Flat,,12',"Oceanside, NY",Carolina Skiff,,Other,2014,Carolina Skiff,J 1250 KIT,Request,2014
7186, Jon Boats,Power,,,Aluminum,Flat,99 year,12',"Dallas, PA",Lowe,,Other,2017,Lowe,Jon L1232,Request,2017
7187, Jon Boats,Power,,,Aluminum,Flat,99 year,12',"Saugerties, NY",Lowe,,Other,2017,Lowe,Jon L1232,Request,2017
7188, Jon Boats,Power,,,Aluminum,Flat,99 year,12',"Ogdensburg, NY",Lowe,,Other,2017,Lowe,Jon L1232,Request,2017
7189, Jon Boats,Power,,,Aluminum,Flat,99 year,12',"Fort Ann, NY",Lowe,,Other,2017,Lowe,Jon L1232,Request,2017
7190, Jon Boats,Power,,,Aluminum,Flat,99 year,12',"Rosedale, NY",Lowe,,Other,2017,Lowe,Jon L1232,Request,2017
7191, Jon Boats,Power,,,Aluminum,Flat,99 year,12',"Neptune, NJ",Lowe,,Other,2017,Lowe,Jon L1232,Request,2017
7192, Jon Boats,Power,,,Aluminum,Modified Vee,,12',"Bolton Landing, NY",Princecraft,,Other,2017,Princecraft,1232,Request,2017
7193, Jon Boats,Power,,,Aluminum,Modified Vee,,12',"Ogdensburg, NY",Princecraft,,Other,2017,Princecraft,1232,Request,2017
7194, Personal Watercraft,PWC,Gas,,Fiberglass,,,12',"Grand Island, NY",Sea-Doo,,Single Inboard,2017,Sea-Doo,GTX S 155,Request,2017
7195, Personal Watercraft,PWC,Gas,,Fiberglass,,,12',"Grand Island, NY",Sea-Doo,,Single Inboard,2017,Sea-Doo,GTX S 155,Request,2017
7196, Personal Watercraft,PWC,Gas,,Fiberglass,,,12',"Cicero, NY",Sea-Doo,,Other,2017,Sea-Doo,GTX Limited S 260,"$14,999",2017
7197, Personal Watercraft,PWC,Gas,,Fiberglass,,,12',"Grand Island, NY",Sea-Doo,,Single Inboard,2017,Sea-Doo,GTX Limited S 260,Request,2017
7198, Personal Watercraft,PWC,Gas,,Fiberglass,,,12',"Grand Island, NY",Sea-Doo,,Single Inboard,2017,Sea-Doo,RXT 260,Request,2017
7199, Personal Watercraft,PWC,Gas,,Fiberglass,Modified Vee,,12',"Grand Island, NY",Sea-Doo,,Other,2014,Sea-Doo,GTX Limited iS 260,"$12,995",2014
7200, Personal Watercraft,PWC,Gas,,Fiberglass,,,12',"Cicero, NY",Sea-Doo,,Other,2017,Sea-Doo,GTX Limited 300,"$13,999",2017
7201, Personal Watercraft,PWC,Gas,,Fiberglass,,,12',"Cicero, NY",Sea-Doo,,Other,2017,Sea-Doo,RXT-X 300,"$15,499",2017
7202, Personal Watercraft,PWC,Gas,,Fiberglass,,,12',"Cicero, NY",Sea-Doo,,Other,2017,Sea-Doo,RXP-X 300,"$12,999",2017
7203, Personal Watercraft,PWC,Gas,,Fiberglass,,,12',"Grand Island, NY",Sea-Doo,,Single Inboard,2017,Sea-Doo,RXP-X 300,Request,2017
7204, Personal Watercraft,PWC,Gas,,Fiberglass,,,12',"Grand Island, NY",Sea-Doo,,Single Inboard,2017,Sea-Doo,GTX Limited 300,Request,2017
7205, Personal Watercraft,PWC,Gas,,Fiberglass,,,12',"Grand Island, NY",Sea-Doo,,Single Inboard,2017,Sea-Doo,RXP-X 300,Request,2017
7206, Personal Watercraft,PWC,Gas,,Fiberglass,,,12',"Grand Island, NY",Sea-Doo,,Single Inboard,2017,Sea-Doo,GTX Limited 300,Request,2017
7207, Personal Watercraft,PWC,Gas,,Fiberglass,,,12',"Grand Island, NY",Sea-Doo,,Single Inboard,2017,Sea-Doo,RXP-X 300,Request,2017
7208, Personal Watercraft,PWC,Gas,,Fiberglass,,,12',"Cicero, NY",Sea-Doo,,Other,2017,Sea-Doo,Wake Pro 230,"$12,499",2017
7209, Personal Watercraft,PWC,Gas,,Fiberglass,,,12',"Grand Island, NY",Sea-Doo,,Single Inboard,2017,Sea-Doo,Wake Pro 230,Request,2017
7210, Personal Watercraft,PWC,Gas,CA-YDV09332B616,Fiberglass,Other,,12',"Caldwell, NJ",Sea-Doo,,Single Inboard,2016,Sea-Doo,RXT 260,"$9,980",2016
7211, Personal Watercraft,PWC,Gas,,Fiberglass,,,11',"Grand Island, NY",Sea-Doo,,Single Inboard,2017,Sea-Doo,Wake 155,Request,2017
7212, Personal Watercraft,PWC,Gas,,Fiberglass,,,11',"Grand Island, NY",Sea-Doo,,Single Inboard,2017,Sea-Doo,GTI SE Rotax 900 HO ACE,Request,2017
7213, Personal Watercraft,PWC,Gas,,Other,,,11',"Cicero, NY",Sea-Doo,,Other,2017,Sea-Doo,GTI,"$8,899",2017
7214, Personal Watercraft,PWC,Gas,,Other,,,11',"Cicero, NY",Sea-Doo,,Other,2017,Sea-Doo,GTI SE,"$9,599",2017
7215, Personal Watercraft,PWC,Gas,,Fiberglass,,,11',"Cicero, NY",Sea-Doo,,Other,2017,Sea-Doo,GTI SE,"$10,399",2017
7216, Personal Watercraft,PWC,,,Fiberglass,Other,,11',"Monroe, NJ",Yamaha,,Other,2012,Yamaha,FZS,"$8,000",2012
7217, Personal Watercraft,PWC,Gas,,Fiberglass,,1 year,11',"Grand Island, NY",Sea-Doo,,Single Inboard,2017,Sea-Doo,GTI,Request,2017
7218, Rigid Sports Inflatable,Small Boats,Gas,EMD-D1027C707,Fiberglass,,,11',"Freeport, NY",Caribe,,Other,2007,Caribe,DL11,"$12,500",2007
7219, Personal Watercraft,PWC,Other,,Composite,Modified Vee,,11',"Staten Island, NY",Sea-Doo,,Other,2017,Sea-Doo,GTI SE 130,"$9,499",2017
7220, Personal Watercraft,PWC,Other,,Composite,Modified Vee,,11',"Staten Island, NY",Sea-Doo,,Other,2017,Sea-Doo,GTI SE 130,"$9,499",2017
7221, Personal Watercraft,PWC,,,Fiberglass,,,11',"Cicero, NY",Sea-Doo,,Other,2013,Sea-Doo,GTI-SE 130,"$7,295",2013
7222, Personal Watercraft,PWC,Gas,,Fiberglass,,,11',"Grand Island, NY",Sea-Doo,,Other,2017,Sea-Doo,GTI SE Rotax 1503 4-TEC,Request,2017
7223, Personal Watercraft,PWC,Gas,,Fiberglass,,,11',"Grand Island, NY",Sea-Doo,,Single Inboard,2017,Sea-Doo,GTI SE Rotax 1503 4-TEC,Request,2017
7224, Personal Watercraft,PWC,Gas,,Fiberglass,,,11',"Grand Island, NY",Sea-Doo,,Single Inboard,2017,Sea-Doo,GTI SE Rotax 1503 4-TEC,Request,2017
7225, Personal Watercraft,PWC,,,Fiberglass,,,11',"Cicero, NY",Sea-Doo,,Other,2007,Sea-Doo,Wake 155,"$5,995",2007
7226, Personal Watercraft,PWC,Gas,,Fiberglass,,,11',"Grand Island, NY",Sea-Doo,,Single Inboard,2017,Sea-Doo,SPARK 2-up Rotax 900 HO ACE IBR & CONV,Request,2017
7227, Personal Watercraft,PWC,Gas,,Fiberglass,,,11',"Grand Island, NY",Sea-Doo,,Single Inboard,2017,Sea-Doo,SPARK 2-up Rotax 900 ACE,Request,2017
7228, Personal Watercraft,PWC,Electric,,Fiberglass,,,11',"Grand Island, NY",Sea-Doo,,Single Inboard,2017,Sea-Doo,SPARK 2-up Rotax 900 HO ACE IBR & CONV,Request,2017
7229, Personal Watercraft,PWC,Other,,Composite,Modified Vee,,11',"Staten Island, NY",Sea-Doo,,Other,2017,Sea-Doo,GTR 230,"$11,499",2017
7230," Unspecified, Other",Power,Gas,,Other,Other,,11',"Franklin Square, NY",Sea Doo,,Other,2013,Sea Doo,RXT-X 260,"$12,500",2013
7231, Personal Watercraft,PWC,Gas,,Fiberglass,,,11',"Grand Island, NY",Sea-Doo,,Single Inboard,2017,Sea-Doo,SPARK 3-up Rotax 900 HO ACE IBR & CONV,Request,2017
7232, Personal Watercraft,PWC,Gas,,Fiberglass,,,11',"Grand Island, NY",Sea-Doo,,Single Inboard,2017,Sea-Doo,SPARK 3-up Rotax 900 HO ACE IBR & CONV,Request,2017
7233, Personal Watercraft,PWC,Gas,,Fiberglass,,,11',"Grand Island, NY",Sea-Doo,,Single Inboard,2017,Sea-Doo,SPARK 3-up Rotax 900 HO ACE,Request,2017
7234, Personal Watercraft,PWC,Gas,,Fiberglass,,,11',"Grand Island, NY",Sea-Doo,,Single Inboard,2017,Sea-Doo,SPARK 3-up Rotax 900 HO ACE,Request,2017
7235, Personal Watercraft,PWC,,,Fiberglass,,,11',"Cicero, NY",Sea-Doo,,Other,2009,Sea-Doo,GTI-4 TEC,"$5,995",2009
7236, Personal Watercraft,PWC,,,Fiberglass,,,11',"Cicero, NY",Sea-Doo,,Other,2006,Sea-Doo,GTI-4 TEC,"$4,995",2006
7237, Personal Watercraft,PWC,,,Fiberglass,,,11',"Cicero, NY",Sea-Doo,,Other,2003,Sea-Doo,GTI 85,"$3,695",2003
7238, Personal Watercraft,PWC,Gas,,Fiberglass,,,11',"Grand Island, NY",Sea-Doo,,Single Inboard,2017,Sea-Doo,GTI SE Rotax 900 HO ACE,Request,2017
7239, Personal Watercraft,PWC,,,Fiberglass,,,11',"Cicero, NY",Sea-Doo,,Other,2002,Sea-Doo,GTX-DI,"$3,995",2002
7240, Personal Watercraft,PWC,,,Fiberglass,,,11',"Cicero, NY",Sea Doo,,Other,2004,Sea Doo,GTX-SC,"$4,995",2004
7241, Personal Watercraft,PWC,Other,,Composite,Deep Vee,,11',"Staten Island, NY",Kawasaki,,Other,2017,Kawasaki,Jet Ski Ultra 310R,"$13,799",2017
7242, Personal Watercraft,PWC,,KAW602255415,Composite,,,11',"James Creek, PA",Kawasaki,,Other,2015,Kawasaki,Ultra 310X,"$10,500",2015
7243, Personal Watercraft,PWC,,,Composite,,,11',"Cicero, NY",Kawasaki,,Other,2007,Kawasaki,Ultra LX,"$4,995",2007
7244, Jon Boats,Power,Other,,Aluminum,Other,,11',"Rochester, NY",Tracker,,Other,2017,Tracker,TOPPER 1236,$599,2017
7245, Personal Watercraft,PWC,,,Fiberglass,,,11',"Greentown, PA",Yamaha WaveRunner,,Other,2007,Yamaha WaveRunner,FX Cruiser High Output,"$5,699",2007
7246, Other,Power,Gas,,Fiberglass,,,11',Mamaroneck,Yamaha WaveRunner,,Other,2008,Yamaha WaveRunner,VX Deluxe,"$4,900",2008
7247, Personal Watercraft,PWC,,,Fiberglass,,,11',"Cicero, NY",Yamaha WaveRunner,,Other,2014,Yamaha WaveRunner,FX SVHO,"$9,995",2014
7248, Personal Watercraft,PWC,,,Fiberglass,,,11',"Greentown, PA",Yamaha WaveRunner,,Other,2011,Yamaha WaveRunner,VXS High Output,"$6,999",2011
7249, Personal Watercraft,PWC,,,Fiberglass,,,11',"James Creek, PA",Yamaha,,Other,2017,Yamaha,VX Cruiser,Request,2017
7250, Personal Watercraft,PWC,,,Fiberglass,,,11',"James Creek, PA",Yamaha,,Other,2017,Yamaha,VX Cruiser,Request,2017
7251, Personal Watercraft,PWC,Gas,,Fiberglass,,,11',"James Creek, PA",Yamaha,,Single Inboard,2017,Yamaha,FX Cruiser HO,Request,2017
7252, Personal Watercraft,PWC,Gas,,Fiberglass,,,11',"James Creek, PA",Yamaha,,Other,2017,Yamaha,FX Cruiser HO,Request,2017
7253, Personal Watercraft,PWC,,,Fiberglass,Other,,11',"Duncansville, PA",Yamaha,,Other,2016,Yamaha,VX Cruiser,"$18,849",2016
7254, Personal Watercraft,PWC,Gas,,Fiberglass,,,11',"Seaford, NY",Yamaha,,Other,2014,Yamaha,VX Cruiser,"$16,990",2014
7255, Personal Watercraft,PWC,Other,,Fiberglass,Other,,11',"Quakertown,, PA",Yamaha,,Other,2012,Yamaha,VX Cruiser,"$13,995",2012
7256, Personal Watercraft,PWC,Gas,,Fiberglass,,,11',"James Creek, PA",Yamaha,,Other,2017,Yamaha,EX Deluxe,Request,2017
7257, Personal Watercraft,PWC,Gas,,Fiberglass,,,11',"James Creek, PA",Yamaha,,Other,2017,Yamaha,EX Deluxe,Request,2017
7258, Personal Watercraft,PWC,Gas,,Fiberglass,,,11',"James Creek, PA",Yamaha,,Other,2017,Yamaha,VX Deluxe,Request,2017
7259, Personal Watercraft,PWC,Other,,Fiberglass,Other,,11',"Quakertown,, PA",Yamaha,,Other,2013,Yamaha,VX Deluxe,"$7,495",2013
7260, Personal Watercraft,PWC,Other,,Fiberglass,Other,,11',"Staten Island, NY",Yamaha,,Other,2016,Yamaha,FZS,"$13,999",2016
7261, Personal Watercraft,PWC,Other,,Fiberglass,Other,,11',"Staten Island, NY",Yamaha,,Other,2015,Yamaha,FZS,"$9,999",2015
7262, Personal Watercraft,PWC,Gas,,Fiberglass,,,11',"James Creek, PA",Yamaha,,Other,2017,Yamaha,VX Limited,Request,2017
7263, Personal Watercraft,PWC,Other,,Fiberglass,Other,,11',"Staten Island, NY",Yamaha,,Other,2016,Yamaha,VX Limited,"$9,499",2016
7264, Personal Watercraft,PWC,,,Fiberglass,,,11',"James Creek, PA",Yamaha,,Other,2017,Yamaha,VX,Request,2017
7265, Personal Watercraft,PWC,,,Fiberglass,,,11',"Greentown, PA",Yamaha,,Other,2013,Yamaha,VXR,"$7,999",2013
7266, Personal Watercraft,PWC,Gas,,Fiberglass,,,11',"Grand Island, NY",Sea-Doo,,Single Inboard,2017,Sea-Doo,GTR-X 23,Request,2017
7267, Personal Watercraft,PWC,Gas,,Fiberglass,,,11',"Cicero, NY",Sea-Doo,,Other,2017,Sea-Doo,GTR-X 230,"$10,999",2017
7268, Personal Watercraft,PWC,Gas,,Fiberglass,,,11',"Grand Island, NY",Sea-Doo,,Single Inboard,2017,Sea-Doo,GTR 230,Request,2017
